id,date,count,name,codes
2285,2020-01-08,204,Bioethics and Law,PLSC 257
2368,2020-01-08,159,Attraction and Relationships,PSYC 126
1062,2020-01-08,156,Data Exploration and Analysis,F&ES 757 / PLSC 530 / S&DS 230 / S&DS 530
126,2020-01-08,155,The Structure of Networks,AMTH 160 / MATH 160 / S&DS 160
337,2020-01-08,144,Biochemistry and Biophysics,BIOL 101
411,2020-01-08,134,General Chemistry II,CHEM 165
2076,2020-01-08,131,"Drugs, Brain, and Behavior",NSCI 161 / PSYC 161
2228,2020-01-08,124,University Physics,PHYS 181
409,2020-01-08,121,GeneralChemistry Laboratory II,CHEM 136L
636,2020-01-08,119,Introductory Microeconomics,ECON 115
