id,yesterday,today,change,absChange,name,codes
2285,169,204,35,35,Bioethics and Law,PLSC 257
1448,82,111,29,29,IntroHistArt:Renaissnc-Present,HSAR 115
1062,128,156,28,28,Data Exploration and Analysis,S&DS 230
1063,68,96,28,28,MultivariateStats forSocialSci,S&DS 363
827,57,83,26,26,Reading & Writing Modern Essay,ENGL 120
2368,136,159,23,23,Attraction and Relationships,PSYC 126
1715,72,92,20,20,Theory of Statistics,MATH 242 / S&DS 242
2228,104,124,20,20,University Physics,PHYS 181
644,75,94,19,19,Game Theory,ECON 159 / GLBL 159
2076,112,131,19,19,"Drugs, Brain, and Behavior",NSCI 161 / PSYC 161
